year,TSI,TSI_UNC,time_bnds_lwr,time_bnds_upr
1726,1360.4756,0.5385,42368.0,42733.0
1727,1360.5321,0.5614,42733.0,43098.0
1728,1360.7258,0.6456,43098.0,43464.0
1729,1360.4393,0.5081,43464.0,43829.0
1730,1360.6776,0.6228,43829.0,44194.0
1731,1360.2533,0.3982,44194.0,44559.0
1732,1360.2614,0.3998,44559.0,44925.0
1733,1360.2765,0.3851,44925.0,45290.0
1734,1360.286,0.3879,45290.0,45655.0
1735,1360.3799,0.4456,45655.0,46020.0
1736,1360.6122,0.577,46020.0,46386.0
1737,1360.4204,0.5186,46386.0,46751.0
1738,1360.3557,0.4988,46751.0,47116.0
1739,1360.6271,0.6413,47116.0,47481.0
1740,1360.2877,0.4522,47481.0,47847.0
1741,1360.6833,0.6103,47847.0,48212.0
1742,1360.3754,0.433,48212.0,48577.0
1743,1360.3246,0.3933,48577.0,48942.0
1744,1360.2668,0.3591,48942.0,49308.0
1745,1360.259,0.3669,49308.0,49673.0
1746,1360.3044,0.3982,49673.0,50038.0
1747,1360.4984,0.4982,50038.0,50403.0
1748,1360.6725,0.6057,50403.0,50769.0
1749,1360.7166,0.6197,50769.0,51134.0
1750,1360.7239,0.6342,51134.0,51499.0
1751,1360.5137,0.5128,51499.0,51864.0
1752,1360.4939,0.4844,51864.0,52230.0
1753,1360.4862,0.4434,52230.0,52595.0
1754,1360.3579,0.3598,52595.0,52960.0
1755,1360.3414,0.3374,52960.0,53325.0
1756,1360.3624,0.347,53325.0,53691.0
1757,1360.4756,0.4225,53691.0,54056.0
1758,1360.5555,0.4907,54056.0,54421.0
1759,1360.7091,0.5806,54421.0,54786.0
1760,1360.6243,0.5221,54786.0,55152.0
1761,1360.8689,0.6027,55152.0,55517.0
1762,1360.6671,0.4698,55517.0,55882.0
1763,1360.6215,0.4122,55882.0,56247.0
1764,1360.6226,0.3788,56247.0,56613.0
1765,1360.4882,0.3001,56613.0,56978.0
1766,1360.4001,0.2554,56978.0,57343.0
1767,1360.6049,0.3683,57343.0,57708.0
1768,1360.9039,0.5335,57708.0,58074.0
1769,1361.1351,0.6481,58074.0,58439.0
1770,1361.1234,0.6423,58439.0,58804.0
1771,1360.9757,0.5545,58804.0,59169.0
1772,1360.924,0.5174,59169.0,59535.0
1773,1360.6704,0.3774,59535.0,59900.0
1774,1360.6189,0.3401,59900.0,60265.0
1775,1360.4469,0.2486,60265.0,60630.0
1776,1360.4888,0.2828,60630.0,60996.0
1777,1360.6517,0.3873,60996.0,61361.0
1778,1360.9329,0.5424,61361.0,61726.0
1779,1360.9678,0.5676,61726.0,62091.0
1780,1360.824,0.4931,62091.0,62457.0
1781,1360.9098,0.5311,62457.0,62822.0
1782,1360.6724,0.4041,62822.0,63187.0
1783,1360.5435,0.3353,63187.0,63552.0
1784,1360.4014,0.248,63552.0,63918.0
1785,1360.5333,0.2922,63918.0,64283.0
1786,1360.8508,0.4467,64283.0,64648.0
1787,1361.0201,0.5545,64648.0,65013.0
1788,1361.059,0.6062,65013.0,65379.0
1789,1360.9314,0.5731,65379.0,65744.0
1790,1360.8169,0.5516,65744.0,66109.0
1791,1360.6428,0.4859,66109.0,66474.0
1792,1360.6453,0.4939,66474.0,66840.0
1793,1360.6978,0.4945,66840.0,67205.0
1794,1360.5433,0.4105,67205.0,67570.0
1795,1360.4679,0.394,67570.0,67935.0
1796,1360.3967,0.3903,67935.0,68301.0
1797,1360.3129,0.3843,68301.0,68666.0
1798,1360.2878,0.4031,68666.0,69031.0
1799,1360.2699,0.4248,69031.0,69396.0
1800,1360.2748,0.4479,69396.0,69761.0
1801,1360.5865,0.6178,69761.0,70126.0
1802,1360.4719,0.5885,70126.0,70491.0
1803,1360.3296,0.5352,70491.0,70856.0
1804,1360.3408,0.5495,70856.0,71222.0
1805,1360.3503,0.5566,71222.0,71587.0
1806,1360.2855,0.5235,71587.0,71952.0
1807,1360.2048,0.4793,71952.0,72317.0
1808,1360.1971,0.463,72317.0,72683.0
1809,1360.1947,0.4516,72683.0,73048.0
1810,1360.1711,0.4548,73048.0,73413.0
1811,1360.1674,0.4621,73413.0,73778.0
1812,1360.1854,0.4753,73778.0,74144.0
1813,1360.2262,0.5036,74144.0,74509.0
1814,1360.2308,0.5167,74509.0,74874.0
1815,1360.2776,0.5471,74874.0,75239.0
1816,1360.3828,0.5963,75239.0,75605.0
1817,1360.3694,0.5849,75605.0,75970.0
1818,1360.3256,0.5514,75970.0,76335.0
1819,1360.3273,0.5287,76335.0,76700.0
1820,1360.283,0.4784,76700.0,77066.0
1821,1360.2533,0.4354,77066.0,77431.0
1822,1360.2533,0.4072,77431.0,77796.0
1823,1360.2421,0.3849,77796.0,78161.0
1824,1360.293,0.406,78161.0,78527.0
1825,1360.3391,0.4397,78527.0,78892.0
1826,1360.4336,0.4947,78892.0,79257.0
1827,1360.5977,0.5619,79257.0,79622.0
1828,1360.7128,0.5778,79622.0,79988.0
1829,1360.7607,0.5485,79988.0,80353.0
1830,1360.8263,0.5396,80353.0,80718.0
1831,1360.6907,0.4425,80718.0,81083.0
1832,1360.544,0.3474,81083.0,81449.0
1833,1360.4337,0.2838,81449.0,81814.0
1834,1360.4384,0.2826,81814.0,82179.0
1835,1360.706,0.4185,82179.0,82544.0
