,temp,co2
1958,0.021944107,315.232
1959,0.0338486,315.98083333333335
1960,-0.065752566,316.91
1961,0.047014788,317.64416666666665
1962,0.0014890457,318.45416666666665
1963,0.0007588801,318.9925
1964,-0.27814317,319.6166666666667
1965,-0.10050127,320.0358333333333
1966,-0.14220233,321.3691666666667
1967,0.04876925,322.18083333333334
1968,-0.15928465,323.05
1969,-0.031285476,324.62333333333333
1970,-0.016537705,325.6816666666667
1971,-0.018987365,326.31916666666666
1972,0.0036399618,327.45666666666665
1973,0.114973485,329.6775
1974,0.014077541,330.19166666666666
1975,0.005109615,331.12916666666666
1976,-0.12636425,332.0266666666667
1977,0.14198194,333.8441666666667
1978,0.018479364,335.415
1979,0.013624874,336.835
1980,0.27173248,338.7625
1981,0.43618497,340.1191666666667
1982,0.038681947,341.4791666666667
1983,0.20300794,343.1525
1984,0.25372407,344.86833333333334
1985,0.12378984,346.3516666666667
1986,0.09626663,347.60833333333335
1987,0.11376197,349.31166666666667
1988,0.42709598,351.69
1989,0.23722792,353.205
1990,0.45356584,354.45250000000004
1991,0.48650134,355.70416666666665
1992,0.1772877,356.54583333333335
1993,0.15810037,357.21583333333336
1994,0.2785178,358.9591666666667
1995,0.48000416,360.9683333333333
1996,0.47204304,362.74333333333334
1997,0.4120243,363.8766666666666
1998,0.5741686,366.84
1999,0.3333405,368.53999999999996
2000,0.42132983,369.7075
2001,0.5551227,371.31916666666666
2002,0.72436553,373.45250000000004
2003,0.65825003,375.98333333333335
2004,0.39877358,377.6983333333333
2005,0.8481346,379.98333333333335
2006,0.7406078,382.09083333333336
2007,0.9027943,384.02500000000003
2008,0.68096274,385.83166666666665
2009,0.78774285,387.6425
2010,0.8818528,390.1016666666667
2011,0.92865634,391.85083333333336
2012,0.8830507,394.05583333333334
2013,0.8382306,396.7375
2014,0.90112185,398.8125
2015,0.9069807,401.0116666666667
2016,1.2443393,404.41249999999997
2017,1.0792671,406.7583333333334
2018,1.0519584,408.715
2019,1.1635913,411.6541666666667
2020,1.2509371,414.2383333333333
2021,0.95461655,416.4508333333333
2022,1.1043516,418.5641666666666
2023,1.1152147,421.62399999999997
